Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,100,0,2900.0,3637.611434999999,589.562,12434.077400000002,49244.0,1.691911751842111,0.0,2900,3900,4900,5300,6600,8700,11000,12000,12000,12000,12000
GET,load_studentprofile,1845,0,550.0,763.204527804877,18.344700000000103,7932.7593,26160.0,31.215771821486946,0.0,550,740,900,1000,1500,2100,3200,3800,7500,7900,7900
,Aggregated,1945,0,580.0,910.9889446272475,18.344700000000103,12434.077400000002,27346.838046272493,32.90768357332906,0.0,580,790,980,1100,1900,2900,4500,5500,11000,12000,12000
